panel,series,offset,mean_contact_percentile,ci95_low,ci95_high,n_windows,n_valid_at_offset
contact_landscape,GoF,-30,0.5159306332055891,0.4726703386939387,0.5594337408308001,234,172
contact_landscape,GoF,-29,0.5153268776690636,0.47325993473203987,0.5579453893293916,234,179
contact_landscape,GoF,-28,0.522813762973873,0.4811843552150508,0.5653746066885251,234,179
contact_landscape,GoF,-27,0.5290472261032189,0.48738308246726975,0.5697173019819057,234,179
contact_landscape,GoF,-26,0.5254008436223088,0.4825742035611105,0.5657347544498823,234,179
contact_landscape,GoF,-25,0.5161242530561646,0.4736755877367689,0.5577291450837002,234,193
contact_landscape,GoF,-24,0.5235599157431612,0.48144556929965704,0.5651119588097514,234,193
contact_landscape,GoF,-23,0.5318464298703651,0.4884127032761336,0.5717221173342912,234,193
contact_landscape,GoF,-22,0.5315500700042382,0.4887614876123704,0.5702564289561661,234,193
contact_landscape,GoF,-21,0.53238455512771,0.4903608539057337,0.5703975660415059,234,193
contact_landscape,GoF,-20,0.535449897160609,0.49495342655300106,0.5735969228510087,234,193
contact_landscape,GoF,-19,0.5226342431676474,0.48481873191505687,0.5599722612118366,234,204
contact_landscape,GoF,-18,0.5163893969405317,0.47765361004190277,0.5531578281095493,234,204
contact_landscape,GoF,-17,0.5073187166079925,0.46829297542305953,0.5443671552539253,234,204
contact_landscape,GoF,-16,0.5047677973879946,0.4644347110275905,0.5427785488568939,234,204
contact_landscape,GoF,-15,0.4965723912055138,0.45686817708368643,0.5344283944111794,234,211
contact_landscape,GoF,-14,0.4875291197483671,0.4488686148832848,0.5264884087316072,234,211
contact_landscape,GoF,-13,0.47409490948329175,0.43597215498387787,0.5134128403005852,234,211
contact_landscape,GoF,-12,0.4689186901308153,0.43059232132673514,0.508805019139155,234,211
contact_landscape,GoF,-11,0.4661453147776048,0.42846869484024624,0.505869456750172,234,211
contact_landscape,GoF,-10,0.45787655104354547,0.4196643013179688,0.4980302051133822,234,211
contact_landscape,GoF,-9,0.44463873132361326,0.4082263234981689,0.48302624288334384,234,222
contact_landscape,GoF,-8,0.4446314815734399,0.40855433044858125,0.4831527510502849,234,222
contact_landscape,GoF,-7,0.44087698609991605,0.4048908123706864,0.477546110183507,234,222
contact_landscape,GoF,-6,0.4396680008987863,0.4036045385153411,0.47664548078473923,234,222
contact_landscape,GoF,-5,0.42946089493874423,0.39305343932417514,0.4663553409220383,234,234
contact_landscape,GoF,-4,0.4286970576235119,0.39213417392954664,0.46543567360296184,234,234
contact_landscape,GoF,-3,0.4314428875062674,0.39478643980702655,0.46748759640617404,234,234
contact_landscape,GoF,-2,0.43000159882036815,0.3923415333130361,0.46699025807230954,234,234
contact_landscape,GoF,-1,0.4274076022138695,0.3910055371563331,0.46450737717448093,234,234
contact_landscape,GoF,0,0.4285603518303043,0.39221322929615954,0.46604257477714917,234,234
contact_landscape,GoF,1,0.43608045435388887,0.39871434745947315,0.47296071870945977,234,234
contact_landscape,GoF,2,0.4477602882165081,0.41162285547788596,0.48374026278119675,234,234
contact_landscape,GoF,3,0.45838617072176685,0.4209646001337532,0.4952861480527739,234,234
contact_landscape,GoF,4,0.4726634474473541,0.4341352046445012,0.510565218314537,234,234
contact_landscape,GoF,5,0.483893566334847,0.4440294525368908,0.5215143658035842,234,228
contact_landscape,GoF,6,0.4881708983953066,0.45004417481433584,0.5261163645891055,234,228
contact_landscape,GoF,7,0.4974593705183184,0.45938279551088573,0.5363509869220371,234,228
contact_landscape,GoF,8,0.5016605970055634,0.46317165492646006,0.5412767841026688,234,228
contact_landscape,GoF,9,0.5031832275312927,0.46331011701764074,0.542983765555498,234,228
contact_landscape,GoF,10,0.5043753212340167,0.46481549968455926,0.5449685673244304,234,228
contact_landscape,GoF,11,0.5153952920938124,0.4763454351026595,0.5536978664250019,234,221
contact_landscape,GoF,12,0.5145824771946305,0.475779710452906,0.5540477934712942,234,221
contact_landscape,GoF,13,0.521981841726573,0.48332149429407184,0.5607898603623737,234,221
contact_landscape,GoF,14,0.5257962578333065,0.48660367173574787,0.5653585726235136,234,221
contact_landscape,GoF,15,0.524099982058725,0.48457189477181,0.5650662394634387,234,206
contact_landscape,GoF,16,0.521759788013315,0.4822150124594458,0.5611946101688445,234,206
contact_landscape,GoF,17,0.5245984959155375,0.48533550862531244,0.5634835349373816,234,206
contact_landscape,GoF,18,0.5241290115367759,0.4854877289042817,0.5628321093408998,234,206
contact_landscape,GoF,19,0.5268682598054992,0.4888311784808845,0.5646787787463394,234,206
contact_landscape,GoF,20,0.5249270247328883,0.487224579031022,0.5637353597084832,234,206
contact_landscape,GoF,21,0.5309947844495718,0.49393788438313274,0.570290705709462,234,196
contact_landscape,GoF,22,0.5268212566243395,0.4889400219905097,0.5673715078371157,234,196
contact_landscape,GoF,23,0.5250930822250551,0.48750901771156635,0.564744643699425,234,196
contact_landscape,GoF,24,0.5236974678776127,0.48744973750987713,0.5630992990059609,234,196
contact_landscape,GoF,25,0.519423545917502,0.4842425223516721,0.5581973777030677,234,182
contact_landscape,GoF,26,0.5195861971108894,0.4823480801987182,0.5593552231155734,234,182
contact_landscape,GoF,27,0.5233418371857892,0.4846783001553909,0.5642783864539476,234,182
contact_landscape,GoF,28,0.5243330551196103,0.4869262921846388,0.5647312603249167,234,182
contact_landscape,GoF,29,0.5285289992107337,0.4897398900316275,0.5688358537361395,234,182
contact_landscape,GoF,30,0.5293149670909492,0.4907787892509431,0.5693645989370079,234,181
contact_landscape,GoF +0.5,-30,0.5185426582976288,0.45711026917053854,0.5802646270215189,101,77
contact_landscape,GoF +0.5,-29,0.5138418819007673,0.4502523271617571,0.5762535871322606,101,80
contact_landscape,GoF +0.5,-28,0.5290802827126414,0.46532319615106305,0.5893559330424091,101,80
contact_landscape,GoF +0.5,-27,0.5499073763219554,0.4887730667026038,0.6098270772373253,101,80
contact_landscape,GoF +0.5,-26,0.557354487923794,0.49669665514364764,0.6171657514471197,101,80
contact_landscape,GoF +0.5,-25,0.5390031877811873,0.48033376512841375,0.5942998784577643,101,86
contact_landscape,GoF +0.5,-24,0.5483713484852143,0.487702020978274,0.6070535816282846,101,86
contact_landscape,GoF +0.5,-23,0.5609929147878049,0.5007511510289475,0.6198481943203068,101,86
contact_landscape,GoF +0.5,-22,0.5608364113382203,0.5002302050716875,0.6207646924006083,101,86
contact_landscape,GoF +0.5,-21,0.5636989653661949,0.5029613355677253,0.6234871799492749,101,86
contact_landscape,GoF +0.5,-20,0.5646546832879618,0.5054569210148866,0.6233414115989517,101,86
contact_landscape,GoF +0.5,-19,0.5435354030238612,0.48799977884314194,0.5973668115180049,101,93
contact_landscape,GoF +0.5,-18,0.5437742105344519,0.49032683048020925,0.5956432784822295,101,93
contact_landscape,GoF +0.5,-17,0.5373205804514526,0.4849030759955012,0.5901588383139272,101,93
contact_landscape,GoF +0.5,-16,0.5354574748703224,0.4832294941231123,0.5870683722944751,101,93
contact_landscape,GoF +0.5,-15,0.5306496004499721,0.47700058063834677,0.5820184992776027,101,97
contact_landscape,GoF +0.5,-14,0.5181316033137708,0.46535983469155945,0.5698214685127485,101,97
contact_landscape,GoF +0.5,-13,0.5070771245993653,0.4541162448081979,0.5611137694208889,101,97
contact_landscape,GoF +0.5,-12,0.502500250331376,0.44874364289322527,0.5562269356875589,101,97
contact_landscape,GoF +0.5,-11,0.5003387218279468,0.44697907110994406,0.5533708552998744,101,97
contact_landscape,GoF +0.5,-10,0.4961414835815945,0.44143848682282266,0.5509034349864191,101,97
contact_landscape,GoF +0.5,-9,0.4813038220702605,0.42744036396487567,0.5337005285020517,101,100
contact_landscape,GoF +0.5,-8,0.4784469426614492,0.42481315719607576,0.5321605928171076,101,100
contact_landscape,GoF +0.5,-7,0.46287100395395625,0.4079771069771014,0.5179814252617544,101,100
contact_landscape,GoF +0.5,-6,0.452710384892586,0.39680552326519025,0.5072956830944813,101,100
contact_landscape,GoF +0.5,-5,0.4496174515593213,0.393759350939995,0.5056033504979426,101,101
contact_landscape,GoF +0.5,-4,0.4420875938911009,0.38410277190834313,0.49642833943289705,101,101
contact_landscape,GoF +0.5,-3,0.4307915015848469,0.3739408991519036,0.4867366163568117,101,101
contact_landscape,GoF +0.5,-2,0.4222265559276616,0.36566562190653495,0.47576353944050376,101,101
contact_landscape,GoF +0.5,-1,0.4142689404486866,0.3578519994617171,0.46791594796878266,101,101
contact_landscape,GoF +0.5,0,0.4150228897691229,0.3602002988581113,0.46751013719494766,101,101
contact_landscape,GoF +0.5,1,0.42763017238937706,0.3744874406447161,0.47914628679977944,101,101
contact_landscape,GoF +0.5,2,0.4478509973896155,0.3954462913574847,0.5008253936317149,101,101
contact_landscape,GoF +0.5,3,0.46180751534917236,0.40790673943236816,0.5162032807260166,101,101
contact_landscape,GoF +0.5,4,0.4846144415956941,0.429001151441749,0.539370229466443,101,101
contact_landscape,GoF +0.5,5,0.49456652855611183,0.4381388971989485,0.5497329451441059,101,99
contact_landscape,GoF +0.5,6,0.5013901470589986,0.44513728618667914,0.556407205831676,101,99
contact_landscape,GoF +0.5,7,0.5127159704288755,0.45608508791387853,0.5695550374846323,101,99
contact_landscape,GoF +0.5,8,0.5111316876678706,0.452754719290035,0.5671938979647322,101,99
contact_landscape,GoF +0.5,9,0.506914187314406,0.4492765738046191,0.5629064348506334,101,99
contact_landscape,GoF +0.5,10,0.5000372900026565,0.4434997838590093,0.5539741587990762,101,99
contact_landscape,GoF +0.5,11,0.5194524556416822,0.46525428681712006,0.5729098338960996,101,93
contact_landscape,GoF +0.5,12,0.5186386562756008,0.46599879669380795,0.5725395240537469,101,93
contact_landscape,GoF +0.5,13,0.5244186879844821,0.4729329183645795,0.5768498397334493,101,93
contact_landscape,GoF +0.5,14,0.5286110832021207,0.4766596700214572,0.5827887254613402,101,93
contact_landscape,GoF +0.5,15,0.5293124665282403,0.47590100591498796,0.587799097380206,101,89
contact_landscape,GoF +0.5,16,0.5284489280063766,0.4720595472696632,0.586704579793962,101,89
contact_landscape,GoF +0.5,17,0.5305104604485551,0.4724795584721199,0.5908718365953595,101,89
contact_landscape,GoF +0.5,18,0.5254843026333622,0.46396808488429037,0.5856958088117293,101,89
contact_landscape,GoF +0.5,19,0.519262055820219,0.4567970718696699,0.5793175960204627,101,89
contact_landscape,GoF +0.5,20,0.5114242670908393,0.45000422689131087,0.5716462235578741,101,89
contact_landscape,GoF +0.5,21,0.5243831699465074,0.4631483562676626,0.5833948455515845,101,85
